iter	Passed	Remaining
0	38	38874
1	54	27200
2	69	23233
3	85	21357
4	99	19889
5	113	18757
6	129	18394
7	143	17740
8	158	17456
9	172	17031
10	187	16857
11	200	16516
12	216	16450
13	229	16152
14	243	15996
15	257	15829
16	272	15775
17	290	15821
18	305	15775
19	322	15810
20	344	16077
21	360	16008
22	373	15862
23	391	15921
24	404	15789
25	418	15683
26	432	15568
27	445	15457
28	460	15413
29	473	15298
30	487	15235
31	502	15194
32	516	15127
33	529	15042
34	542	14969
35	555	14861
36	569	14825
37	581	14729
38	595	14670
39	608	14606
40	621	14536
41	633	14452
42	647	14420
43	662	14390
44	679	14412
45	695	14417
46	709	14388
47	725	14390
48	743	14430
49	757	14396
50	776	14448
51	794	14491
52	808	14444
53	822	14401
54	836	14375
55	850	14338
56	862	14266
57	874	14206
58	888	14178
59	902	14132
60	914	14079
61	927	14029
62	943	14027
63	960	14046
64	978	14074
65	991	14036
66	1006	14013
67	1019	13970
68	1034	13956
69	1049	13941
70	1063	13912
71	1077	13882
72	1090	13842
73	1104	13826
74	1119	13802
75	1132	13766
76	1150	13793
77	1164	13764
78	1178	13737
79	1189	13684
80	1203	13659
81	1218	13645
82	1235	13646
83	1250	13633
84	1264	13609
85	1278	13585
86	1291	13555
87	1305	13524
88	1316	13475
89	1330	13450
90	1343	13424
91	1361	13433
92	1379	13458
93	1394	13435
94	1407	13404
95	1418	13360
96	1432	13334
97	1446	13312
98	1460	13293
99	1474	13269
100	1486	13231
101	1500	13206
102	1512	13175
103	1527	13163
104	1541	13136
105	1555	13122
106	1586	13239
107	1600	13221
108	1612	13179
109	1626	13156
110	1641	13144
111	1656	13133
112	1670	13114
113	1686	13109
114	1700	13086
115	1713	13061
116	1724	13012
117	1737	12988
118	1751	12967
119	1763	12935
120	1775	12895
121	1787	12862
122	1800	12834
123	1814	12819
124	1826	12784
125	1837	12743
126	1851	12729
127	1865	12706
128	1879	12687
129	1891	12658
130	1905	12637
131	1916	12601
132	1931	12590
133	1948	12590
134	1966	12597
135	1981	12586
136	1997	12580
137	2010	12557
138	2030	12574
139	2046	12568
140	2064	12574
141	2079	12562
142	2093	12547
143	2108	12531
144	2121	12510
145	2136	12495
146	2148	12464
147	2161	12442
148	2174	12421
149	2187	12396
150	2199	12369
151	2212	12342
152	2228	12335
153	2243	12327
154	2259	12318
155	2274	12306
156	2290	12296
157	2303	12275
158	2315	12249
159	2328	12222
160	2340	12199
161	2356	12190
162	2369	12167
163	2384	12153
164	2399	12143
165	2411	12117
166	2423	12087
167	2437	12069
168	2451	12056
169	2465	12039
170	2479	12022
171	2503	12052
172	2517	12034
173	2531	12019
174	2546	12003
175	2561	11992
176	2572	11961
177	2584	11936
178	2598	11918
179	2613	11904
180	2625	11880
181	2638	11860
182	2650	11833
183	2665	11821
184	2680	11810
185	2695	11795
186	2711	11786
187	2724	11766
188	2736	11743
189	2747	11714
190	2762	11700
191	2777	11689
192	2794	11683
193	2806	11661
194	2819	11638
195	2832	11619
196	2845	11597
197	2857	11575
198	2870	11552
199	2882	11529
200	2895	11511
201	2909	11493
202	2925	11486
203	2942	11479
204	2956	11464
205	2969	11443
206	2980	11418
207	2994	11400
208	3009	11388
209	3025	11382
210	3040	11370
211	3054	11354
212	3068	11338
213	3082	11320
214	3094	11298
215	3108	11284
216	3122	11265
217	3136	11251
218	3149	11233
219	3162	11211
220	3189	11241
221	3204	11229
222	3219	11216
223	3234	11203
224	3247	11185
225	3260	11165
226	3271	11140
227	3284	11119
228	3298	11104
229	3313	11093
230	3327	11075
231	3341	11060
232	3354	11042
233	3369	11030
234	3384	11019
235	3400	11009
236	3414	10992
237	3427	10972
238	3438	10949
239	3450	10926
240	3464	10910
241	3479	10897
242	3492	10878
243	3504	10858
244	3515	10834
245	3530	10821
246	3543	10803
247	3556	10785
248	3570	10767
249	3580	10742
250	3598	10737
251	3611	10718
252	3625	10705
253	3639	10688
254	3654	10676
255	3667	10658
256	3680	10640
257	3692	10619
258	3708	10609
259	3723	10598
260	3739	10589
261	3753	10572
262	3766	10554
263	3778	10534
264	3793	10521
265	3805	10501
266	3820	10488
267	3834	10472
268	3848	10457
269	3861	10439
270	3872	10417
271	3885	10400
272	3897	10380
273	3914	10372
274	3930	10362
275	3945	10349
276	3957	10329
277	3970	10311
278	3988	10306
279	4003	10294
280	4019	10284
281	4033	10270
282	4063	10295
283	4076	10278
284	4091	10264
285	4103	10243
286	4115	10225
287	4128	10207
288	4140	10185
289	4151	10163
290	4164	10146
291	4178	10131
292	4193	10117
293	4204	10097
294	4216	10077
295	4229	10059
296	4246	10050
297	4260	10036
298	4274	10020
299	4287	10003
300	4298	9982
301	4309	9961
302	4323	9944
303	4336	9928
304	4348	9907
305	4359	9886
306	4371	9868
307	4388	9859
308	4402	9844
309	4415	9827
310	4426	9806
311	4440	9791
312	4454	9777
313	4467	9760
314	4479	9741
315	4490	9720
316	4503	9702
317	4515	9685
318	4526	9663
319	4538	9644
320	4552	9629
321	4565	9612
322	4578	9595
323	4589	9574
324	4604	9563
325	4617	9546
326	4631	9532
327	4645	9517
328	4656	9497
329	4667	9476
330	4681	9461
331	4694	9445
332	4707	9428
333	4719	9409
334	4731	9393
335	4777	9440
336	4799	9443
337	4823	9447
338	4842	9442
339	4866	9445
340	4885	9442
341	4906	9439
342	4930	9444
343	4967	9472
344	4987	9469
345	5002	9456
346	5024	9454
347	5047	9457
348	5082	9480
349	5099	9469
350	5113	9454
351	5126	9437
352	5140	9422
353	5154	9405
354	5167	9388
355	5177	9366
356	5190	9348
357	5204	9333
358	5220	9321
359	5232	9301
360	5245	9284
361	5256	9263
362	5269	9246
363	5281	9228
364	5292	9207
365	5304	9188
366	5319	9175
367	5333	9159
368	5346	9143
369	5358	9123
370	5369	9102
371	5382	9085
372	5395	9069
373	5407	9050
374	5418	9031
375	5432	9015
376	5444	8997
377	5457	8979
378	5468	8959
379	5482	8944
380	5496	8929
381	5508	8912
382	5521	8894
383	5556	8913
384	5592	8933
385	5627	8950
386	5678	8995
387	5714	9014
388	5743	9021
389	5774	9031
390	5799	9032
391	5828	9039
392	5845	9029
393	5867	9025
394	5884	9013
395	5902	9002
396	5920	8991
397	5941	8987
398	5962	8981
399	5976	8964
400	5991	8949
401	6014	8946
402	6029	8932
403	6042	8913
404	6055	8896
405	6068	8878
406	6084	8865
407	6098	8849
408	6112	8832
409	6126	8815
410	6139	8798
411	6151	8779
412	6164	8762
413	6177	8744
414	6191	8727
415	6204	8710
416	6217	8692
417	6233	8678
418	6246	8661
419	6261	8646
420	6273	8627
421	6284	8608
422	6299	8593
423	6313	8576
424	6326	8559
425	6341	8544
426	6355	8528
427	6369	8512
428	6381	8494
429	6393	8475
430	6409	8461
431	6426	8449
432	6440	8434
433	6455	8418
434	6469	8402
435	6483	8387
436	6495	8368
437	6510	8354
438	6524	8337
439	6539	8323
440	6555	8309
441	6571	8296
442	6585	8280
443	6597	8261
444	6614	8249
445	6632	8239
446	6647	8223
447	6660	8206
448	6673	8189
449	6685	8170
450	6702	8159
451	6716	8143
452	6730	8127
453	6743	8109
454	6758	8095
455	6773	8080
456	6785	8062
457	6799	8046
458	6814	8031
459	6828	8016
460	6842	8000
461	6878	8010
462	6894	7996
463	6909	7981
464	6923	7965
465	6935	7947
466	6947	7929
467	6962	7915
468	6984	7908
469	7000	7894
470	7013	7877
471	7025	7859
472	7038	7841
473	7050	7824
474	7062	7805
475	7073	7787
476	7088	7772
477	7102	7756
478	7115	7739
479	7129	7723
480	7140	7705
481	7154	7689
482	7169	7673
483	7183	7657
484	7196	7641
485	7210	7625
486	7221	7607
487	7234	7590
488	7249	7575
489	7263	7559
490	7279	7546
491	7295	7532
492	7309	7516
493	7321	7499
494	7334	7482
495	7348	7466
496	7362	7451
497	7377	7436
498	7389	7419
499	7404	7404
500	7417	7387
501	7431	7371
502	7445	7356
503	7460	7341
504	7475	7327
505	7490	7312
506	7504	7297
507	7517	7280
508	7530	7264
509	7555	7259
510	7567	7241
511	7580	7224
512	7594	7209
513	7608	7193
514	7622	7178
515	7634	7161
516	7645	7142
517	7658	7126
518	7672	7111
519	7686	7095
520	7699	7078
521	7712	7062
522	7724	7045
523	7739	7030
524	7753	7015
525	7773	7005
526	7788	6990
527	7804	6977
528	7817	6960
529	7836	6949
530	7855	6938
531	7871	6924
532	7885	6909
533	7899	6893
534	7914	6879
535	7927	6862
536	7941	6846
537	7955	6831
538	7971	6817
539	7985	6802
540	8014	6800
541	8028	6784
542	8042	6768
543	8055	6752
544	8071	6739
545	8085	6723
546	8100	6708
547	8113	6692
548	8130	6678
549	8143	6662
550	8155	6645
551	8168	6629
552	8184	6615
553	8200	6601
554	8214	6586
555	8229	6571
556	8245	6558
557	8264	6546
558	8279	6531
559	8294	6517
560	8310	6502
