iter	MultiClass
0	1.093751338
1	1.089456762
2	1.085655373
3	1.082013477
4	1.079437499
5	1.077079684
6	1.073996698
7	1.07001564
8	1.066318058
9	1.063363618
10	1.060049
11	1.056860803
12	1.054019808
13	1.049926463
14	1.047126599
15	1.043480303
16	1.042622646
17	1.038419647
18	1.036468787
19	1.033961111
20	1.031682861
21	1.02979365
22	1.025788601
23	1.021928628
24	1.020552368
25	1.017683151
26	1.015631867
27	1.013650223
28	1.010244529
29	1.006994822
30	1.004502139
31	1.002262575
32	1.000999357
33	0.9984623246
34	0.9947063832
35	0.991680614
36	0.9897488554
37	0.9873112845
38	0.9839415616
39	0.9818623665
40	0.9784306877
41	0.9765291288
42	0.9736337094
43	0.9713908489
44	0.969213303
45	0.9665373331
46	0.9646455117
47	0.9618605807
48	0.9596336838
49	0.9569879044
50	0.9542383516
51	0.9516391293
52	0.9484035649
53	0.9453135997
54	0.9421368006
55	0.9403579408
56	0.9384375562
57	0.9366159411
58	0.9335342817
59	0.9307584775
60	0.9291789064
61	0.9269316556
62	0.9242285142
63	0.9219464227
64	0.9195757712
65	0.9170428007
66	0.9136878369
67	0.9120422019
68	0.9102595474
69	0.9073961006
70	0.9056364249
71	0.9034002148
72	0.9019916589
73	0.9007005761
74	0.8992026453
75	0.8981955691
76	0.8964954484
77	0.895152129
78	0.8938329115
79	0.8924093886
80	0.8904180578
81	0.8878577599
82	0.8855844799
83	0.8839637408
84	0.8823541097
85	0.8810492676
86	0.8797278898
87	0.878131969
88	0.8759412594
89	0.8737851921
90	0.871268464
91	0.8700693339
92	0.8679919413
93	0.8658768371
94	0.863921216
95	0.862493768
96	0.8604630619
97	0.8588069277
98	0.8563761643
99	0.8536503866
100	0.8504064922
101	0.8482100064
102	0.8454033102
103	0.8445566321
104	0.8424267465
105	0.8406061979
106	0.8387103809
107	0.8361505703
108	0.8344252215
109	0.8322084286
110	0.8303682363
111	0.8286009859
112	0.8265845041
113	0.8241145384
114	0.8221597573
115	0.8199243836
116	0.8178297797
117	0.8152772168
118	0.8141414855
119	0.811910785
120	0.8100239727
121	0.8077494298
122	0.8056789416
123	0.8030567836
124	0.8005559328
125	0.7983747312
126	0.7960953837
127	0.7946660083
128	0.7926924652
129	0.7910157921
130	0.7892984242
131	0.7874276642
132	0.7853370623
133	0.7832081073
134	0.7812925151
135	0.7790516432
136	0.7763573813
137	0.7746459675
138	0.772238183
139	0.7700888675
140	0.7681745269
141	0.7651219728
142	0.7630363426
143	0.761279736
144	0.7594465202
145	0.7575452881
146	0.7552587186
147	0.7531534417
148	0.7514597334
149	0.7497715903
150	0.7485759503
151	0.7469575363
152	0.7442535266
153	0.7422515592
154	0.7396274196
155	0.7384207311
156	0.7373030453
157	0.7347960803
158	0.7335408472
159	0.73195828
160	0.7293956401
161	0.7277136098
162	0.725537212
163	0.7229465632
164	0.7215302512
165	0.7187788821
166	0.7170332904
167	0.7154320575
168	0.7134645835
169	0.7111809502
170	0.7097834986
171	0.7079859523
172	0.7067823648
173	0.7055082869
174	0.7027976645
175	0.7017508558
176	0.70049309
177	0.6993747333
178	0.6981700546
179	0.6961025499
180	0.6938402456
181	0.6925928211
182	0.6904308628
183	0.6890059188
184	0.6867437335
185	0.6850567255
186	0.6843334353
187	0.6824550071
188	0.6800357572
189	0.6782315076
190	0.6766920729
191	0.6750487882
192	0.6733084736
193	0.6719093322
194	0.6698798793
195	0.6692050858
196	0.6678215331
197	0.6652939724
198	0.6634479148
199	0.6624952125
200	0.6611390723
201	0.65925421
202	0.6572516651
203	0.6552397653
204	0.6545674779
205	0.652895065
206	0.6514850882
207	0.6495221546
208	0.6480106626
209	0.646351436
210	0.644604634
211	0.643381706
212	0.6414341791
213	0.6392946332
214	0.6376818808
215	0.6358686789
216	0.634387588
217	0.6327088416
218	0.631349699
219	0.6295773703
220	0.6272951319
221	0.6257040628
222	0.6246177223
223	0.6238218264
224	0.6223539932
225	0.6210045048
226	0.6194840706
227	0.6180218426
228	0.6170231909
229	0.6160000952
230	0.6146605713
231	0.6135318872
232	0.6119347118
233	0.6105980745
234	0.6093765846
235	0.6075660839
236	0.6059886078
237	0.6048488494
238	0.6032818762
239	0.6016440796
240	0.6001848865
241	0.5988281927
242	0.597413587
243	0.5959976978
244	0.5948481228
245	0.5933757155
246	0.5916441816
247	0.5900081614
248	0.5886628046
249	0.5873190238
250	0.5861348948
251	0.5844748368
252	0.5831035364
253	0.5820710747
254	0.5815222037
255	0.5803114505
256	0.5794036963
257	0.5776142727
258	0.5764674399
259	0.5758085111
260	0.5747826335
261	0.5741116258
262	0.5728769039
263	0.5715188945
264	0.5699813732
265	0.5691411736
266	0.5676481151
267	0.5661455198
268	0.5649398039
269	0.5636887065
270	0.5623831418
271	0.5613858698
272	0.5601899525
273	0.559021997
274	0.5575001574
275	0.5563898142
276	0.5552413243
277	0.5546685339
278	0.5538489947
279	0.5529065697
280	0.552234829
281	0.5507529352
282	0.5491915173
283	0.5481350299
284	0.5470883324
285	0.5461232348
286	0.5446643737
287	0.5435258899
288	0.5422380575
289	0.5410045593
290	0.5398074604
291	0.5391959521
292	0.5380266831
293	0.5368710356
294	0.5358592036
295	0.5344899718
296	0.5332981887
297	0.5321215433
298	0.5312348985
299	0.5302745239
300	0.5291474585
301	0.5278872371
302	0.5269956047
303	0.5260230104
304	0.5251436779
305	0.5241047732
306	0.5230870432
307	0.5213008619
308	0.5206403628
309	0.5191806503
310	0.5180183592
311	0.5172643197
312	0.5157850716
313	0.5145160965
314	0.5134633895
315	0.5124113093
316	0.5115041108
317	0.5103868819
318	0.5094330611
319	0.508112826
320	0.5067009971
321	0.5055037499
322	0.5044253747
323	0.5037252723
324	0.502636472
325	0.5017668766
326	0.5007121313
327	0.4992867832
328	0.4982417365
329	0.4973495725
330	0.4963132867
331	0.4955132179
332	0.4946801748
333	0.4933958095
334	0.492720265
335	0.4917060812
336	0.4908140631
337	0.4898052466
338	0.4886069663
339	0.487240919
340	0.4861982379
341	0.4856111949
342	0.4848422187
343	0.4838260359
344	0.4825440125
345	0.481380412
346	0.4803920418
347	0.4794831357
348	0.4783445072
349	0.4776749215
350	0.4766572478
351	0.475859343
352	0.4753767811
353	0.4745233476
354	0.4736716451
355	0.4727447345
356	0.4721048954
357	0.4713483663
358	0.4699178787
359	0.4688963765
360	0.4680124958
361	0.4669949369
362	0.4661016092
363	0.4650285496
364	0.4642316627
365	0.4633271251
366	0.4624165972
367	0.4613521086
368	0.4606307821
369	0.4594615997
370	0.4582151689
371	0.4573412434
372	0.4562814438
373	0.4548644003
374	0.4538066977
375	0.4531833969
376	0.4519719999
377	0.4509952542
378	0.4500727244
379	0.4487534803
380	0.4477998775
381	0.4469491575
382	0.4460770093
