iter	Passed	Remaining
0	188	187853
1	202	100857
2	215	71720
3	228	56876
4	240	47924
5	254	42114
6	267	37913
7	280	34772
8	292	32259
9	304	30144
10	316	28456
11	329	27150
12	341	25946
13	355	25070
14	366	24088
15	379	23343
16	393	22740
17	407	22226
18	419	21650
19	429	21046
20	441	20568
21	454	20195
22	471	20012
23	482	19618
24	495	19310
25	506	18989
26	517	18650
27	528	18345
28	540	18099
29	552	17872
30	564	17657
31	576	17438
32	588	17242
33	600	17053
34	611	16849
35	624	16713
36	635	16538
37	645	16347
38	658	16216
39	670	16093
40	681	15943
41	691	15775
42	705	15703
43	719	15637
44	731	15528
45	744	15438
46	755	15328
47	767	15219
48	777	15083
49	788	14987
50	801	14905
51	813	14837
52	824	14723
53	835	14631
54	847	14561
55	857	14457
56	870	14400
57	883	14341
58	894	14272
59	906	14208
60	917	14123
61	928	14047
62	939	13980
63	950	13904
64	961	13834
65	973	13779
66	984	13704
67	995	13650
68	1008	13610
69	1020	13563
70	1031	13491
71	1043	13446
72	1052	13369
73	1063	13308
74	1074	13257
75	1085	13192
76	1095	13130
77	1105	13063
78	1114	12992
79	1124	12936
80	1134	12873
81	1144	12813
82	1155	12770
83	1165	12710
84	1176	12665
85	1187	12622
86	1198	12572
87	1209	12535
88	1220	12496
89	1230	12445
90	1241	12403
91	1252	12361
92	1262	12311
93	1274	12285
94	1286	12255
95	1297	12221
96	1308	12177
97	1320	12150
98	1330	12106
99	1340	12062
100	1351	12031
101	1361	11989
102	1373	11959
103	1385	11933
104	1397	11914
105	1409	11889
106	1422	11875
107	1440	11897
108	1455	11897
109	1470	11898
110	1484	11886
111	1498	11883
112	1511	11863
113	1522	11836
114	1536	11823
115	1551	11825
116	1564	11806
117	1575	11779
118	1588	11756
119	1601	11744
120	1613	11723
121	1627	11712
122	1640	11698
123	1652	11675
124	1667	11674
125	1685	11693
126	1700	11692
127	1713	11673
128	1726	11658
129	1737	11628
130	1748	11596
131	1760	11575
132	1771	11550
133	1782	11517
134	1797	11514
135	1813	11519
136	1827	11513
137	1839	11490
138	1849	11457
139	1861	11435
140	1873	11414
141	1884	11384
142	1895	11359
143	1907	11337
144	1918	11314
145	1928	11282
146	1940	11259
147	1952	11239
148	1963	11212
149	1974	11188
150	1985	11163
151	2002	11173
152	2017	11168
153	2027	11140
154	2040	11125
155	2051	11101
156	2060	11064
157	2071	11038
158	2081	11009
159	2091	10981
160	2102	10956
161	2112	10930
162	2122	10900
163	2134	10882
164	2144	10850
165	2154	10826
166	2166	10807
167	2176	10780
168	2187	10756
169	2200	10744
170	2216	10744
171	2226	10719
172	2237	10693
173	2247	10670
174	2257	10643
175	2268	10621
176	2279	10598
177	2289	10574
178	2302	10559
179	2314	10544
180	2325	10520
181	2335	10494
182	2346	10475
183	2356	10451
184	2368	10433
185	2380	10418
186	2391	10397
187	2401	10373
188	2413	10355
189	2426	10344
190	2436	10322
191	2448	10302
192	2462	10297
193	2477	10292
194	2488	10271
195	2498	10250
196	2512	10243
197	2527	10237
198	2539	10222
199	2550	10200
200	2563	10189
201	2575	10176
202	2588	10161
203	2599	10141
204	2612	10132
205	2627	10128
206	2641	10120
207	2653	10104
208	2665	10087
209	2677	10072
210	2691	10062
211	2705	10054
212	2719	10049
213	2731	10030
214	2744	10022
215	2758	10012
216	2770	9998
217	2782	9981
218	2796	9972
219	2808	9956
220	2824	9954
221	2838	9946
222	2851	9934
223	2862	9916
224	2873	9896
225	2885	9883
226	2898	9869
227	2908	9848
228	2919	9829
229	2932	9818
230	2946	9807
231	2957	9790
232	2970	9779
233	2984	9768
234	2995	9750
235	3007	9736
236	3041	9791
237	3054	9779
238	3067	9765
239	3080	9755
240	3093	9741
241	3104	9724
242	3118	9715
243	3131	9703
244	3144	9689
245	3154	9669
246	3166	9653
247	3180	9644
248	3194	9634
249	3207	9622
250	3218	9603
251	3231	9591
252	3244	9579
253	3255	9562
254	3265	9541
255	3280	9532
256	3292	9518
257	3303	9499
258	3314	9483
259	3326	9469
260	3340	9458
261	3351	9441
262	3362	9422
263	3375	9410
264	3388	9397
265	3398	9379
266	3410	9361
267	3422	9347
268	3434	9333
269	3445	9316
270	3459	9306
271	3477	9306
272	3494	9305
273	3511	9303
274	3528	9303
275	3554	9323
276	3570	9318
277	3586	9315
278	3601	9307
279	3619	9306
280	3638	9308
281	3656	9310
282	3671	9302
283	3686	9294
284	3705	9295
285	3720	9287
286	3738	9287
287	3751	9275
288	3767	9269
289	3782	9260
290	3800	9260
291	3819	9260
292	3838	9262
293	3858	9266
294	3872	9253
295	3893	9261
296	3910	9257
297	3924	9244
298	3937	9231
299	3952	9222
300	3967	9212
301	3981	9202
302	3996	9193
303	4010	9182
304	4025	9171
305	4038	9159
306	4050	9142
307	4064	9130
308	4079	9121
309	4097	9121
310	4116	9118
311	4131	9110
312	4146	9101
313	4163	9095
314	4178	9086
315	4194	9079
316	4211	9074
317	4226	9064
318	4239	9049
319	4249	9030
320	4260	9013
321	4275	9003
322	4293	8999
323	4311	8995
324	4325	8983
325	4339	8972
326	4353	8959
327	4366	8945
328	4384	8942
329	4398	8929
330	4412	8918
331	4426	8906
332	4445	8904
333	4458	8889
334	4472	8878
335	4487	8868
336	4502	8858
337	4516	8845
338	4528	8829
339	4539	8811
340	4553	8799
341	4565	8783
342	4576	8766
343	4593	8759
344	4605	8744
345	4619	8730
346	4633	8719
347	4651	8714
348	4664	8700
349	4678	8687
350	4702	8695
351	4727	8703
352	4744	8696
353	4759	8685
354	4774	8674
355	4789	8664
356	4803	8651
357	4816	8636
358	4828	8622
359	4842	8608
360	4854	8593
361	4872	8586
362	4885	8573
363	4900	8561
364	4913	8547
365	4927	8535
366	4940	8521
367	4952	8505
368	4965	8491
369	4982	8483
370	4997	8472
371	5015	8467
372	5034	8462
373	5052	8456
374	5066	8444
375	5086	8441
376	5112	8447
377	5141	8459
378	5163	8460
379	5185	8460
380	5210	8465
381	5237	8472
382	5256	8467
383	5274	8460
384	5299	8466
385	5329	8476
386	5346	8468
387	5364	8462
388	5381	8453
389	5402	8450
390	5424	8449
391	5445	8446
392	5464	8439
393	5489	8443
394	5514	8446
395	5539	8449
396	5570	8460
397	5593	8460
398	5620	8466
399	5642	8463
400	5659	8453
401	5676	8444
402	5693	8433
403	5711	8425
404	5725	8411
405	5745	8406
406	5762	8396
407	5779	8385
408	5796	8375
409	5812	8364
410	5830	8355
411	5844	8340
412	5859	8328
413	5874	8315
414	5891	8305
415	5904	8289
416	5917	8273
417	5930	8257
418	5945	8243
419	5962	8233
420	5979	8224
421	5996	8212
422	6011	8200
423	6027	8188
424	6046	8180
425	6062	8168
426	6149	8251
427	6212	8302
428	6264	8337
429	6300	8352
430	6318	8341
431	6356	8357
432	6380	8355
433	6398	8344
434	6420	8338
435	6453	8348
436	6484	8354
437	6513	8358
438	6551	8371
439	6613	8416
440	6642	8419
441	6674	8426
442	6711	8438
443	6755	8460
444	6782	8459
445	6840	8496
446	6887	8520
447	6909	8513
448	6954	8534
449	6990	8543
450	7028	8555
451	7070	8571
452	7106	8580
453	7174	8628
454	7214	8641
455	7256	8656
456	7282	8653
457	7307	8648
458	7326	8635
459	7359	8639
460	7384	8634
461	7413	8633
462	7432	8619
463	7457	8615
464	7476	8602
465	7499	8594
466	7520	8583
467	7547	8579
468	7565	8565
469	7583	8552
470	7610	8548
471	7631	8537
472	7649	8522
473	7666	8508
474	7683	8492
475	7699	8475
476	7716	8460
477	7741	8454
478	7759	8440
479	7775	8423
480	7790	8405
481	7808	8391
482	7823	8374
483	7839	8358
484	7857	8343
485	7877	8331
486	7893	8315
487	7917	8307
488	7935	8292
489	7956	8280
490	7972	8265
491	7990	8249
492	8009	8237
493	8031	8226
494	8066	8229
495	8095	8226
496	8111	8209
497	8126	8192
498	8144	8176
499	8158	8158
500	8174	8141
501	8186	8121
502	8202	8104
503	8219	8089
504	8236	8073
505	8252	8057
506	8268	8039
507	8284	8023
508	8302	8009
509	8317	7991
510	8335	7976
511	8349	7958
